supersection,product,mix_prop
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,misc,0.00491621219508379
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,paper,0
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,slash,0.25
MW Broadleaf Forest SC Great Lakes & Lake Whittlesey,residue,0.3
North Central Great Plains,softwood_lumber,0.03254452605
North Central Great Plains,hardwood_lumber,0.05128584525
North Central Great Plains,plywood,0
North Central Great Plains,osb,0
North Central Great Plains,nonstructural_panels,0.0356690745
North Central Great Plains,misc,0.3305005542
North Central Great Plains,paper,0
North Central Great Plains,slash,0.25
North Central Great Plains,residue,0.3
Northern Allegheny Plateau,softwood_lumber,0.0579756546
Northern Allegheny Plateau,hardwood_lumber,0.2580247647
Northern Allegheny Plateau,plywood,0
Northern Allegheny Plateau,osb,0.01183454775
Northern Allegheny Plateau,nonstructural_panels,0.0063361008
Northern Allegheny Plateau,misc,0.04117986045
Northern Allegheny Plateau,paper,0.0746490717
Northern Allegheny Plateau,slash,0.25
Northern Allegheny Plateau,residue,0.3
Northern Atlantic Coastal Plain,softwood_lumber,0.27843246585
Northern Atlantic Coastal Plain,hardwood_lumber,0.07373979855
Northern Atlantic Coastal Plain,plywood,0.0372770307
Northern Atlantic Coastal Plain,osb,0.02926461645
Northern Atlantic Coastal Plain,nonstructural_panels,0.01457681625
Northern Atlantic Coastal Plain,misc,0.001027062
Northern Atlantic Coastal Plain,paper,0.0156822102
Northern Atlantic Coastal Plain,slash,0.25
Northern Atlantic Coastal Plain,residue,0.3
Northern California Coast,softwood_lumber,0.436801863468959
Northern California Coast,hardwood_lumber,9.689984997093e-06
Northern California Coast,plywood,0.00843381764746986
Northern California Coast,osb,0
Northern California Coast,nonstructural_panels,0.00109947869967016
Northern California Coast,misc,0.000426518099872045
Northern California Coast,paper,0.00322863209903141
Northern California Coast,slash,0.25
Northern California Coast,residue,0.3
Northern Great Plains,softwood_lumber,0.408875138058875
Northern Great Plains,hardwood_lumber,0
Northern Great Plains,plywood,0.000660784500660785
Northern Great Plains,osb,0.000270274500270275
Northern Great Plains,nonstructural_panels,6.44098500644099e-05
Northern Great Plains,misc,0.00122118390122118
Northern Great Plains,paper,0.0389082091889082
Northern Great Plains,slash,0.25
Northern Great Plains,residue,0.3
Northern Rocky Mountains,softwood_lumber,0.314362909318564
Northern Rocky Mountains,hardwood_lumber,3.59370449964063e-05
Northern Rocky Mountains,plywood,0.0751887557924811
Northern Rocky Mountains,osb,0
Northern Rocky Mountains,nonstructural_panels,0.000867785849913221
Northern Rocky Mountains,misc,0.0130813420486919
Northern Rocky Mountains,paper,0.0464632699453537
Northern Rocky Mountains,slash,0.25
Northern Rocky Mountains,residue,0.3
Northwest Cascades,softwood_lumber,0.3389680629
Northwest Cascades,hardwood_lumber,0.01917757125
Northwest Cascades,plywood,0.05126121135
Northwest Cascades,osb,0
Northwest Cascades,nonstructural_panels,0.0005708835
Northwest Cascades,misc,0.0023753628
Northwest Cascades,paper,0.0376469082
Northwest Cascades,slash,0.25
Northwest Cascades,residue,0.3
Northwestern Basin and Range,softwood_lumber,0.3444365169
Northwestern Basin and Range,hardwood_lumber,0
Northwestern Basin and Range,plywood,0.10381681935
Northwestern Basin and Range,osb,0
Northwestern Basin and Range,nonstructural_panels,0.00014240745
Northwestern Basin and Range,misc,0.0016042563
Northwestern Basin and Range,paper,0
Northwestern Basin and Range,slash,0.25
Northwestern Basin and Range,residue,0.3
Okanogan Highland,softwood_lumber,0.371224928328775
Okanogan Highland,hardwood_lumber,0.0136786958863213
Okanogan Highland,plywood,0.00756707264243293
Okanogan Highland,osb,0
Okanogan Highland,nonstructural_panels,0.000878500799121499
Okanogan Highland,misc,0.0108732905891267
Okanogan Highland,paper,0.0457775117542225
Okanogan Highland,slash,0.25
Okanogan Highland,residue,0.3
Oregon and Washington Coast,softwood_lumber,0.327257031272743
Oregon and Washington Coast,hardwood_lumber,0.0215765563284234
Oregon and Washington Coast,plywood,0.0559685942440314
Oregon and Washington Coast,osb,0
Oregon and Washington Coast,nonstructural_panels,0.00336548024663452
Oregon and Washington Coast,misc,0.00797621264202379
Oregon and Washington Coast,paper,0.0338561252661439
Oregon and Washington Coast,slash,0.25
Oregon and Washington Coast,residue,0.3
Ozark Broadleaf Forest-Meadow Boston Mountains,softwood_lumber,0.213635638563636
Ozark Broadleaf Forest-Meadow Boston Mountains,hardwood_lumber,0.0572745506072746
Ozark Broadleaf Forest-Meadow Boston Mountains,plywood,0.0524378448524378
